Price,Close,High,Low,Open,Volume
Ticker,BMY,BMY,BMY,BMY,BMY
Date,,,,,
2018-01-02,46.722877502441406,46.875290366644215,46.3647008759689,46.791464454168285,6472700
2018-01-03,46.76096725463867,46.875276869877695,46.257997389157644,46.64665473231145,7433500
2018-01-04,47.36696243286133,47.420657540797365,46.62289747122773,46.79165519683467,6403200
2018-01-05,47.474361419677734,47.69681429431915,47.15986018959191,47.45901953940959,6113400
2018-01-08,47.489688873291016,47.712141680354605,46.952734931682336,47.38996814492397,4663700
2018-01-09,47.44366455078125,47.63543361190189,47.21354226266921,47.45900642681054,5156800
2018-01-10,47.566402435302734,47.612428069005105,46.929730596322045,47.19053666830744,5096300
2018-01-11,47.91925048828125,47.95760371251863,47.40530791977728,47.55105426850816,6591100
2018-01-12,48.1800651550293,48.494566332070626,47.9576123179073,48.13403952198765,5489200
2018-01-16,45.96320343017578,47.45133309630128,45.57966533909823,47.36695424807807,14471700
2018-01-17,47.44366455078125,47.558727157919094,46.23935508103671,46.27771123419176,10608500
2018-01-18,47.42832946777344,47.48202457517192,46.86836118862263,47.412987590493316,7904200
2018-01-19,47.77352523803711,47.88091548379451,47.221232127546934,47.635451228873386,7490300
2018-01-22,48.54059982299805,48.655662468083136,47.57408472370885,47.78119572916324,6748100
2018-01-23,48.65564727783203,48.8474163423273,48.172388415978126,48.318134777739296,6459900
2018-01-24,48.90878677368164,49.092886385138094,48.43320025615155,48.87043354142607,6430000
2018-01-25,48.724700927734375,49.292338840352,48.47923667529559,49.09289730639255,6183200
2018-01-26,49.28464889526367,49.6528480690383,48.809062441203295,49.03918473018969,6727300
2018-01-29,49.422725677490234,49.82927517546517,49.15425014602826,49.18493389995644,6763300
2018-01-30,49.06219482421875,49.5607955427177,48.56359703188338,49.039183473758776,5848000
2018-01-31,48.01898193359375,49.11590143028761,47.51271162174768,49.062206315861836,8886900
2018-02-01,48.17239761352539,48.31047160041752,47.520383840218095,47.696811062099314,7133000
2018-02-02,48.69400405883789,49.31533692656191,48.21074516171922,48.24142891655683,11719200
2018-02-05,46.7609748840332,50.5426616279774,46.737963529270736,50.18980719952019,23181900
2018-02-06,46.71493911743164,46.95273085328415,44.827929547906514,45.89416786378655,18286300
2018-02-07,48.041988372802734,48.14937858412294,46.25469923074449,46.515505283735195,12176600
2018-02-08,48.088008880615234,49.68352595308878,47.965276798117266,47.98061867419997,14961700
2018-02-09,48.09568405151367,48.571270532811305,46.46181073165864,48.555928655845086,11158000
2018-02-12,48.44853973388672,48.778382782037795,47.78885363758455,48.28745441069589,7502900
2018-02-13,48.9931640625,49.17726366802746,48.08801376483158,48.17239262877484,7519100
2018-02-14,50.128440856933594,50.58101896971079,48.532923489220074,48.77838769963754,10290600
2018-02-15,52.91292190551758,53.2657762756075,51.53218232488111,51.631900129799796,15684900
2018-02-16,52.897586822509766,53.7337031256106,52.56007134026777,52.820880354453415,10547400
2018-02-20,51.662601470947266,52.797877274023996,51.42480962700611,52.53706821896302,8703700
2018-02-21,51.0335807800293,51.96941471946809,51.01824183041283,51.654910655222146,7046200
2018-02-22,50.58100891113281,51.394107849135615,50.519641407649935,51.394107849135615,6528400
2018-02-23,52.12282943725586,52.18419694250987,50.75743463315477,50.75743463315477,5240800
2018-02-26,52.64445114135742,52.820881288101106,52.06914384227325,52.153522714325206,4229400
2018-02-27,52.03845977783203,52.83621993014723,52.023120824971244,52.575416765214726,4398500
2018-02-28,50.78044891357422,52.11516589436257,50.75743756085851,52.046125983887706,8363900
2018-03-01,50.389244079589844,51.025912961576914,49.729557992620144,50.70374231975294,7801300
2018-03-02,50.75743865966797,51.01057524967618,49.95967858506286,50.20514277322383,5391400
2018-03-05,51.256038665771484,51.50150285023505,50.32020463365174,50.49663475951357,6339600
2018-03-06,50.220489501953125,51.700947089514564,50.00570906062037,51.56287311261092,6543400
2018-03-07,50.70375061035156,50.826485647683114,49.629842443015264,49.783261239679696,5927600
2018-03-08,51.20234298706055,51.36342830766186,50.68840327100002,50.78044868144207,3728400
2018-03-09,52.099830627441406,52.19955431056672,51.14098507326001,51.355765541024034,6260900
2018-03-12,51.73931121826172,52.29927967761903,51.532203123739215,52.08449917890543,5031700
2018-03-13,51.14864730834961,52.32994549854667,50.834143219981506,52.01544141017857,5905800
2018-03-14,51.110294342041016,51.59355618092423,50.834146391915766,51.4554822058616,4859300
2018-03-15,50.81880187988281,51.34041396723357,50.7881181274119,51.21001240847773,3422200
2018-03-16,51.08729934692383,51.73164672098534,50.765128586058026,50.765128586058026,9506100
2018-03-19,50.68072509765625,51.378767259760856,49.99802773709628,51.10261935522794,5553700
2018-03-20,50.95686721801758,51.51683536429311,50.412243871544874,50.918511070836885,6307400
2018-03-21,50.70375061035156,51.38644816160441,50.696078207436166,51.04126611068464,4331800
2018-03-22,49.05453872680664,50.54266596102864,49.02385496705005,50.30487413832603,6778700
2018-03-23,47.60476303100586,49.13124637355194,47.51271175501981,49.13124637355194,8481500
2018-03-26,48.63262939453125,48.763030936315,47.35161069415362,48.15704007162236,6676500
2018-03-27,47.87322998046875,48.83974479490942,47.40531298673401,48.81673344314009,6221400
2018-03-28,47.99596405029297,48.60195503201396,47.88090143436381,48.003636451975645,5521200
2018-03-29,48.517578125,48.90111629199605,47.85022253375279,48.226088298757084,5732300
2018-04-02,47.55873489379883,48.502238476842564,46.58454755370551,48.27211615129894,6319700
2018-04-03,48.149383544921875,48.21842053447824,47.198207569496816,47.80419859714004,6070400
2018-04-04,48.310462951660156,48.5022320184385,47.21354365559494,47.459007826978116,5259800
2018-04-05,48.1020393371582,48.781379115164476,47.98624124472622,48.626985585078934,3856700
2018-04-06,46.99810791015625,47.96308218507398,46.303325254268366,47.916762359725524,6462000
2018-04-09,46.68931579589844,47.12162533891458,45.037280278990906,47.02126718797251,10349100
2018-04-10,47.25285720825195,47.46129199452376,46.727910993537996,47.368655293358835,6014700
2018-04-11,46.45771408081055,46.91318198140152,46.27243775477892,46.781943970281766,7817800
2018-04-12,45.42326736450195,45.78609861967321,44.65900647368472,45.77837717665766,14987200
2018-04-13,45.276588439941406,45.762933292783615,44.70532244558294,45.66257810116898,11551300
2018-04-16,41.74864959716797,45.29203240550289,40.683317143658755,45.09131904651575,34837300
2018-04-17,40.436279296875,41.864439920641956,40.29732277787559,41.84128148243123,27808200
2018-04-18,40.3745231628418,40.7991112557707,40.17380980895701,40.413121544950286,14688400
2018-04-19,39.84185028076172,40.559791231772756,39.76465058745198,40.41311328691785,17146100
2018-04-20,39.50218200683594,40.027128201500055,39.386386871019376,39.849573304020645,11669100
2018-04-23,39.29374313354492,39.78008791760271,39.108466826617914,39.56393468024369,10409600
2018-04-24,39.818695068359375,40.12748503199203,39.154792376491415,39.386385585432755,12137800
2018-04-25,39.9576530456543,40.04257125210272,39.03128010769851,39.741499752780314,14309600
2018-04-26,40.17380905151367,40.729632222105394,39.03127988241081,39.78009790477398,14220700
2018-04-27,40.35136032104492,40.81454674555817,40.15064404418637,40.39768014144323,7201800
2018-04-30,40.2432861328125,40.66787420525346,40.01169290646904,40.66015276228368,11437500
2018-05-01,40.67559051513672,40.714191838173704,39.84957285386601,40.127485888474375,9821900
2018-05-02,39.75693893432617,40.45172156937798,39.58710252467625,40.42084168673841,8252000
2018-05-03,39.71833801269531,40.02712798473475,39.18567037827422,39.834133147884785,8177500
2018-05-04,39.625701904296875,39.756936981768234,39.1161927003703,39.49446388195797,6149500
2018-05-07,39.61798095703125,39.89589400087849,39.40182767620233,39.61798095703125,6800600
2018-05-08,39.008113861083984,39.525341533683694,38.56808588693735,39.525341533683694,12207200
2018-05-09,39.44042205810547,39.53305874837601,38.86915608755803,38.992672656207844,11587300
2018-05-10,39.48674011230469,39.919046610839764,39.37094204598727,39.62569661393872,9126100
2018-05-11,40.03485107421875,40.2278459190078,39.40954671694989,39.664301325607894,8987700
2018-05-14,40.158363342285156,40.60610980275659,39.91133020308699,40.09660358505196,8716900
2018-05-15,40.3745231628418,40.405403046475705,39.919055186278996,40.10433154321463,8133100
2018-05-16,40.30503845214844,40.62154984661491,40.23556019751592,40.49031477945757,5417400
2018-05-17,40.714195251464844,41.22370154267236,40.112049311043066,40.181527575519894,8097400
2018-05-18,40.69102478027344,41.03069752847344,40.47487153677677,40.822262781587185,6440100
2018-05-21,40.328208923339844,40.729635657398724,40.0811727829581,40.19697088173491,5440800
2018-05-22,40.4053955078125,40.77594520768041,40.2973188801261,40.359075691003795,3782800
2018-05-23,40.52892303466797,40.62928119245972,40.227851506160754,40.40540643464275,5962200
2018-05-24,40.67559051513672,40.721910335860606,40.23556252529597,40.55979538062822,4930400
2018-05-25,40.73735427856445,40.914909191482984,40.55979936564592,40.76823416208101,3735500
2018-05-29,40.35136032104492,40.62155191119974,39.96537065232806,40.42855707684131,7711400
2018-05-30,40.93034744262695,41.26229881454934,40.51347786697544,40.51347786697544,6455700
2018-05-31,40.621543884277344,41.05385328796706,40.49802733248983,41.022973413803456,8862300
2018-06-01,41.0152702331543,41.22370504428962,40.68331882410929,40.84543380670299,6115800
2018-06-04,39.71833801269531,40.45171898169866,38.57580893192765,40.397680662970075,15081900
2018-06-05,40.08116912841797,40.28188542201438,39.57938428416236,39.679742430960566,8081600
2018-06-06,40.8531379699707,40.891739285977174,39.89588540829596,40.150637013710366,7211800
2018-06-07,40.621543884277344,40.9843750435324,40.45171046611132,40.87629842882669,5723800
2018-06-08,41.038429260253906,41.08474908945611,40.59840118987104,40.621559632038135,4687500
2018-06-11,41.00754165649414,41.300894629829656,40.80682832412825,41.1464981730811,4927200
2018-06-12,41.0152702331543,41.192825158595205,40.89947213423423,41.02298873214391,8287300
2018-06-13,41.270015716552734,41.91847849419759,41.100182260530474,41.18509751610783,7313300
2018-06-14,41.4012451171875,41.578799978931265,40.99981558177541,41.285447059809556,4789100
2018-06-15,42.304473876953125,42.312195320689746,41.57881424371195,41.79496755045019,14496700
2018-06-18,41.41668701171875,42.065149684972305,41.30860744545394,41.90303180800861,8520800
2018-06-19,41.40897750854492,41.47845577731233,40.945791013340816,41.22370408841044,5470700
2018-06-20,41.8798828125,41.92620263705331,41.347218082041785,41.37809502020959,6142000
2018-06-21,41.640567779541016,41.98795909854537,41.30089790366326,41.82584413129924,5844200
2018-06-22,42.56694030761719,42.72133676448621,41.87216066900781,42.18867208039894,10218500
2018-06-25,42.20410919189453,42.71361838442523,41.8798792819577,42.45886378815988,7436700
2018-06-26,42.389381408691406,42.64413598019052,42.13462978205949,42.15006677590744,8749700
2018-06-27,42.04972457885742,42.31219772834684,41.91848653167866,42.18868112534406,9406600
2018-06-28,42.690467834472656,42.95294099501552,42.05744484931662,42.065166293817775,10414600
2018-06-29,42.72134017944336,43.11504837830657,42.57466515337035,42.68274179835759,7726700
2018-07-02,42.60553741455078,42.64413873626703,42.05743280664167,42.590097474837755,5499300
2018-07-03,42.96064376831055,43.246275248481574,42.52833435504787,42.65185090957049,3933200
2018-07-05,43.50494384765625,44.25140865005619,42.66516872031572,43.100608004809416,5349900
2018-07-06,43.97926330566406,44.072570669412656,43.62935698387232,43.714889969886706,5157500
2018-07-09,43.89372634887695,44.126996220239874,43.77708993010182,44.041463241963086,4119300
2018-07-10,43.68378448486328,44.14254987061768,43.54382196268821,44.14254987061768,3717700
2018-07-11,43.34943389892578,43.62935896909633,43.17836791911317,43.543825979190025,3898000
2018-07-12,44.17366409301758,44.204764576278485,43.69156952512096,43.971494637786556,4081500
2018-07-13,44.212528228759766,44.3758168385135,43.95592929955765,44.02591055605029,3685100
2018-07-16,43.87818145751953,44.266965625694475,43.70711547434245,44.228087802114544,3777400
2018-07-17,44.03369140625,44.17365393038288,43.862625439823695,44.03369140625,3900600
