Price,Close,High,Low,Open,Volume
Ticker,CB,CB,CB,CB,CB
Date,,,,,
2018-01-02,124.38890075683594,128.55851126514364,123.60217449475122,127.99031785282914,1986500
2018-01-03,125.36795806884766,125.99733391600321,123.91689634689511,124.04802409566352,2675400
2018-01-04,125.87493896484375,127.03753548781,125.29800896008965,125.53402820534151,1935500
2018-01-05,126.10218811035156,126.71409074706222,124.80847740230212,126.18960658364918,1629100
2018-01-08,125.4640884399414,125.64766191688493,124.13540487489539,125.49031131690653,1556100
2018-01-09,127.4920883178711,127.81551271405637,124.87843025511559,125.64767026570605,2208600
2018-01-10,127.00254821777344,127.47458665423606,126.70534673596333,127.21234456044427,1541600
2018-01-11,126.31201934814453,127.51832525443066,125.74383912925933,126.95013169735545,1428600
2018-01-12,127.30847930908203,127.46582987561428,125.5864396174053,126.48679377033052,1357400
2018-01-16,127.33475494384766,127.77182076572049,126.46935981479092,127.58826058992051,1867800
2018-01-17,128.96934509277344,129.21411416388685,127.4308785803526,128.0777406391934,1729100
2018-01-18,129.10047912597656,129.6424363699439,127.99906493573621,128.9781012535263,1327400
2018-01-19,129.54629516601562,129.63371365772426,128.45363071060356,129.38020803468274,1475000
2018-01-22,130.93617248535156,130.96240870568636,129.7123935246412,129.84350793536362,1436600
2018-01-23,133.99563598632812,134.7823624814443,130.90121578580477,130.944925036343,3036100
2018-01-24,135.47293090820312,135.82259160086616,133.3662835894965,133.88201810570894,2113600
2018-01-25,135.3242645263672,135.7438438160086,133.9955812146201,135.41168299171068,1641700
2018-01-26,136.18966674804688,136.2858217298981,134.8347604903928,135.45539961655714,1311400
2018-01-29,134.7211456298828,136.19843003318448,134.55505850692865,135.9274513960228,1334700
2018-01-30,133.7945556640625,135.97114774476879,133.68091430898932,134.56379559713534,2203700
2018-01-31,136.49563598632812,137.6757189122804,134.48514409498563,134.92220986931034,3363800
2018-02-01,135.90997314453125,137.15123837677913,135.12326006463266,136.22466104412854,2088100
2018-02-02,133.96066284179688,136.74914467878043,133.82954844182774,135.5341023323726,1469100
2018-02-05,128.80331420898438,134.31908322514923,128.1214925348012,133.73341657364276,2327600
2018-02-06,127.51829528808594,128.5759868325074,123.6458861777154,126.74905537346167,3348700
2018-02-07,128.951904296875,130.80505912024725,126.65293379710215,127.27357313526025,3102300
2018-02-08,122.71931457519531,129.3889418527433,122.64938245813231,129.06550414405348,2266000
2018-02-09,126.3294448852539,127.26475833433547,122.45703672951889,123.82942911722193,3508400
2018-02-12,126.40815734863281,127.86795535998041,124.54625297657346,126.731581736948,2205800
2018-02-13,126.85394287109375,127.20360342951642,125.31547642859343,125.66512364882962,1387800
2018-02-14,128.75083923339844,128.81203484855567,125.7001284446537,126.31201790527658,1989100
2018-02-15,128.55853271484375,129.87846654593653,127.86796132496512,129.12671288377118,1783100
2018-02-16,128.49732971191406,129.45887969129205,127.66690745964476,128.23508759588478,1514300
2018-02-20,127.13370513916016,129.07427840554985,126.34697867705647,128.40119332243881,1270500
2018-02-21,125.63018798828125,128.27006901564118,125.58647874295029,127.2123639666635,1581300
2018-02-22,125.06195831298828,127.00251732334151,124.75600705495857,125.87489393398374,1996700
2018-02-23,125.88365173339844,125.88365173339844,124.29273960187118,125.24553957842551,1386400
2018-02-26,127.7455825805664,128.19138486372464,125.90116449968195,126.04102874709233,1803200
2018-02-27,126.04100036621094,128.1301737405462,126.04100036621094,127.71933094265643,1739400
2018-02-28,124.05675506591797,127.33474856577266,123.97808642308698,126.46935348006272,1315300
2018-03-01,122.21232604980469,125.30675910942743,121.66161892230487,124.152899097178,1377000
2018-03-02,122.25605773925781,122.39592200972807,120.18436991840713,121.53926335674097,1784600
2018-03-05,123.7420425415039,124.5462418529133,121.60042321525,121.95007045040641,1357000
2018-03-06,124.06547546386719,124.3189810643114,122.72805535671465,123.90813819864358,1176300
2018-03-07,122.93781280517578,123.37487841004886,122.0024993466029,123.07767699989927,1462700
2018-03-08,124.04803466796875,124.41516838706767,122.57074993799527,123.04277519449633,1247700
2018-03-09,125.87493896484375,125.87493896484375,123.40988167445175,124.76478819900271,1569000
2018-03-12,125.07948303222656,126.8190096566349,124.27528358916736,126.04103309359584,1149000
2018-03-13,124.07424926757812,126.14593702208731,123.92564848678371,126.00607275609592,1307400
2018-03-14,123.04277801513672,124.73859571236731,122.54452986286326,124.73859571236731,1354000
2018-03-15,123.30500793457031,124.48509099274963,122.97283364064332,123.2875215669451,1378700
2018-03-16,123.23506164550781,124.59870472343556,122.57946298587417,123.40114877339188,2699500
2018-03-19,122.64066314697266,123.68961837366979,121.91513233614155,123.08646545031687,1414900
2018-03-20,123.53223419189453,124.15285990769807,122.05495025079122,123.12139143887109,1197200
2018-03-21,122.60565948486328,123.90812001017397,122.57070009934127,123.84692441277795,1068000
2018-03-22,120.31546783447266,122.92912601038756,120.08819842977145,122.05499444712106,1543100
2018-03-23,117.63188934326172,120.76126856150394,117.46580221428802,120.38539839651204,1940000
2018-03-26,119.77354431152344,120.24556962000281,118.19136786992227,118.96059479256247,1435100
2018-03-27,119.4937744140625,121.19832818614185,118.91684441791617,120.11441365322383,1621800
2018-03-28,121.48843383789062,122.12989120037498,119.08081677199472,119.9770765197609,1599300
2018-03-29,120.17918395996094,121.92777937551021,120.15282416831751,121.72568317030093,1664600
2018-04-02,117.13007354736328,120.38124312538913,115.23208868604854,120.06491231517,3329800
2018-04-03,118.69416809082031,118.86112235060887,116.9543550724761,117.2706859310684,1589000
2018-04-04,119.66072082519531,119.88039465259462,116.26017426755844,117.11250979049387,1565400
2018-04-05,119.30049133300781,120.51308200104715,118.98416041790423,120.03859233230641,1573300
2018-04-06,117.85939025878906,120.10884780248674,117.23551077373914,118.60627312644087,1721800
2018-04-09,117.8857650756836,119.81010993462537,117.33218274425478,118.21966017352247,1115300
2018-04-10,118.78202819824219,119.65194140120758,118.1933039364551,119.07199926589732,1566200
2018-04-11,117.79792785644531,118.62390385073293,117.34100239853142,117.86822511211133,1484700
2018-04-12,118.43053436279297,119.3268071935836,117.86816998829819,118.4481120204465,1126400
2018-04-13,117.74516296386719,119.42347410160339,117.20915832749478,119.31802155476223,1194200
2018-04-16,119.31804656982422,120.19674200004197,118.10545599344691,118.6238830793966,1272700
2018-04-17,119.81009674072266,120.97874956620205,119.50254805539136,119.93311353329021,1536800
2018-04-18,119.95072937011719,120.19676306106221,118.79085817106642,119.89800978031904,1944400
2018-04-19,120.92601776123047,121.22478429108028,119.6606946469735,120.17033942398386,1892800
2018-04-20,120.9787826538086,121.50600528490729,119.933146334916,121.45328570336312,1957900
2018-04-23,121.5147705078125,121.58506774270137,120.2231007161877,121.2511726367625,1357800
2018-04-24,119.5904541015625,121.52358137756148,118.62388375964885,119.77497263458255,2451900
2018-04-25,120.60968780517578,122.14740427105066,120.10004302468985,120.84693924267278,2880600
2018-04-26,119.85403442382812,121.04906057678534,119.62557847099305,120.47791399078447,1809300
2018-04-27,120.65365600585938,120.96120474057918,119.06321957232272,119.7486008706664,1505000
2018-04-30,119.2126235961914,121.54117484715167,119.2126235961914,120.899717442355,1255600
2018-05-01,119.44102478027344,119.68707175639312,118.09662227929144,119.22135099373621,1047800
2018-05-02,116.62043762207031,119.40590002655601,115.89990106296744,119.00169430182072,1977600
2018-05-03,114.3973617553711,116.24261413913437,113.19355329016636,115.81206195350381,2858000
2018-05-04,116.64681243896484,117.20039482240034,113.51865901146611,114.8806395407182,1919400
2018-05-07,116.61165618896484,116.92798702521178,115.87354196583806,116.69951767202872,1473500
2018-05-08,116.72589874267578,117.30584094951848,115.98779779278233,115.98779779278233,1555600
2018-05-09,118.35148620605469,118.50086281591658,116.73468987926134,117.20039737113304,1834500
2018-05-10,119.09835815429688,119.41468900682173,117.47277985179333,118.15816113095943,1246600
2018-05-11,119.65194702148438,120.00343321446724,118.84354888936475,119.41469551719935,1566500
2018-05-14,118.66780090332031,120.22309531173231,118.46570474199139,119.75737447555103,1295500
2018-05-15,118.16697692871094,119.61683266917652,117.74520680777114,118.23727418350597,1824600
2018-05-16,118.24604797363281,118.79083483831464,117.58702641493915,118.14059540691883,1077900
2018-05-17,118.14060974121094,118.66783241526628,117.68368431755161,117.88579394037625,1211800
2018-05-18,117.34098815917969,118.00880530305194,117.13889195355839,117.9209303921754,1976600
2018-05-21,117.64850616455078,118.2811678154472,117.13886131200503,117.78910062204453,1490200
2018-05-22,118.81717681884766,119.5113401905144,117.42883666768824,117.6221507018893,1509600
2018-05-23,117.57823181152344,118.91385260191811,116.77861576276013,118.37784786028676,1316200
2018-05-24,117.25311279296875,117.61338111400651,116.08444633719597,117.50792855185684,1149100
2018-05-25,117.28826141357422,117.80670190356092,116.75225666874793,116.8401315742584,1094200
2018-05-29,114.16008758544922,115.98777535144133,113.51864379413625,115.97019769189384,1844100
2018-05-30,116.26016998291016,116.66437570987192,114.62579623097939,114.73124878156666,1257000
2018-05-31,114.83670043945312,116.6555928894427,114.28311806397365,116.6555928894427,1972200
2018-06-01,114.91578674316406,116.07567114127701,114.64339330634824,115.77690450647849,1339400
2018-06-04,115.79447174072266,115.98778578966493,114.71368021823778,114.71368021823778,994400
2018-06-05,115.06517791748047,115.6275425249885,114.05468341280864,115.5836050665615,1310900
2018-06-06,115.41666412353516,115.97902873078236,113.47474108773304,115.19699023933188,1408800
2018-06-07,116.18989562988281,116.43592928332127,114.18647107598191,115.52209191452536,2225500
2018-06-08,117.32341003417969,117.51672408899279,116.22504081720855,116.5852957304263,1848200
2018-06-11,116.86650085449219,117.50794481175699,116.66440464480065,117.32342626616057,1651800
2018-06-12,116.26898956298828,117.7451914982534,115.78570437900434,117.08616990404676,1259800
2018-06-13,116.62043762207031,117.41125800407636,116.031713398519,116.52378060579616,1803300
2018-06-14,114.31827545166016,116.64681286896419,113.90528754627753,116.64681286896419,2356500
2018-06-15,115.003662109375,115.34635279058449,113.90529282244356,114.19526392313284,3670300
2018-06-18,113.73833465576172,113.86135147537777,112.4290736836976,113.64167762550427,1923100
2018-06-19,113.9228286743164,114.13372035164618,113.05292899695894,113.06171112224669,2130000
2018-06-20,111.33946228027344,114.26551205131084,111.22523432353721,114.22158801982215,2091200
2018-06-21,110.42033386230469,111.73717441262171,110.18170763109929,110.64128058013848,2327600
2018-06-22,110.8091812133789,111.96694645062693,110.48218442851196,110.79150844504468,2458700
2018-06-25,110.57057189941406,111.56041558588466,109.55421568663094,110.82687089169909,2345700
2018-06-26,110.09330749511719,110.98593393829897,109.73095845913716,110.68544295803416,1547700
2018-06-27,110.65013122558594,111.47205341660705,109.59842926618975,110.30545483026351,2193100
2018-06-28,111.94043731689453,112.43535575833565,110.4379957381856,110.4379957381856,2216500
2018-06-29,112.25862884521484,113.70804581986363,111.72835796036098,112.13489919684095,3039400
2018-07-02,112.0730209350586,112.5856189841527,111.62229444549314,111.9139390144004,1195100
2018-07-03,112.75353240966797,113.62848628062842,112.29395945351037,112.29395945351037,1171200
2018-07-05,113.34567260742188,113.60196488085938,112.30280377103114,113.25728852112304,1642500
2018-07-06,114.17643737792969,115.01603227707363,112.93913430859182,113.27497091969754,1393300
2018-07-09,116.73944854736328,116.78364060467064,113.78760252233832,113.78760252233832,1882400
2018-07-10,117.99439239501953,118.12696853057822,116.9780427833303,117.35806470379048,2781900
2018-07-11,116.52730560302734,118.06508614456266,116.42124200720183,117.64970523183315,2476800
2018-07-12,117.11944580078125,117.19898338664021,116.26217141403087,116.88081955768627,1707600
2018-07-13,116.78363037109375,117.10179427609494,116.22684016596133,116.81897592252885,1134200
2018-07-16,117.87068939208984,117.99441905525609,116.80131447876485,116.80131447876485,1388400
2018-07-17,117.8795166015625,118.38326818860594,117.3757515289994,118.20651348237175,1332200
2018-07-18,119.31124877929688,119.3996328763043,117.67623738329858,117.9944012527975,1439100
2018-07-19,117.64090728759766,119.31126445048356,117.43764002040585,118.4274773064059,2104100
2018-07-20,117.74691772460938,117.91483938304347,116.82778533833462,117.31387080077096,1371700
2018-07-23,118.37440490722656,118.40975044522838,117.27850443194323,117.6850522893033,1703400
2018-07-24,118.9223861694336,119.5763934570544,118.15349573268517,118.33025044986037,1506200
2018-07-25,119.85920715332031,119.97410379644806,116.65990203411525,116.65990203411525,2341200
2018-07-26,121.30857849121094,121.87420153725898,119.9828982127686,120.50434270461562,2133600
2018-07-27,121.86539459228516,122.70498958446333,121.37047600681254,121.4323340872366,1817600
2018-07-30,123.59761810302734,123.75669329095466,121.63560987214017,121.67095541872862,2249100
2018-07-31,123.48271179199219,123.94228477471404,122.51938726815779,123.76551659907749,2368700
2018-08-01,122.36029052734375,124.08367224185217,122.2719199308793,123.43851159703979,1325200
2018-08-02,121.64445495605469,122.14822007217661,120.81369293084921,121.76818460966906,1213500
2018-08-03,122.67849731445312,122.6873438170606,120.80487279269808,121.62678840385665,1115100
2018-08-06,122.58121490478516,122.99659574046045,122.1746805670062,122.69611149331686,893100
2018-08-07,122.53705596923828,123.16455064118637,121.87421575270324,122.68731161890936,1081600
2018-08-08,121.50305938720703,122.52825576651139,121.4853933529421,122.43987165309737,1052300
2018-08-09,121.14952850341797,121.73283118365593,121.10533645451751,121.45001285910905,1142600
2018-08-10,120.09783172607422,120.54855830447076,119.62059261280265,120.41599563009568,1527100
2018-08-13,119.29358673095703,120.1420283356981,119.05497390803264,119.97410661810713,1363700
2018-08-14,117.64090728759766,118.2684020935223,117.10179659028942,117.37576844727003,2080500
2018-08-15,117.26085662841797,117.80881375698954,116.4919662279396,117.20783156431875,2140800
2018-08-16,118.789794921875,119.45263506594175,117.64086930838916,117.64086930838916,1371700
2018-08-17,118.46277618408203,119.04607870587667,118.03856229801151,118.44511015773647,1124700
2018-08-20,119.17865753173828,119.45262928701547,118.47162538183537,118.76327664937719,954200
2018-08-21,119.3377914428711,119.74433951202667,118.8251932189459,119.09033209139317,1327800
2018-08-22,117.65859985351562,119.45268687609675,117.41114050457499,118.93125563979493,1265300
2018-08-23,117.83533477783203,118.02976901721601,117.47297883302366,117.77346320824584,929300
2018-08-24,119.41730499267578,119.51452211013009,117.92370268156893,117.92370268156893,1174000
2018-08-27,120.64580535888672,121.00816140610495,119.58526324420929,119.74435197844946,973000
2018-08-28,120.51319122314453,121.29976108346355,120.38946158732533,120.70762543450599,1039200
2018-08-29,120.53968811035156,121.13182368246525,119.85033544517341,120.50434256992682,850700
2018-08-30,119.44379425048828,120.75180857326242,118.94887574371663,120.53969486228118,1007600
2018-08-31,119.52338409423828,119.66477979524366,118.40980360723586,118.9754268678242,1478500
2018-09-04,120.37178802490234,120.38063452573192,119.22286221518016,119.47032149905638,1066700
2018-09-05,121.32630157470703,121.79470769579521,120.09783794827395,120.4160018687793,1055500
2018-09-06,121.37928771972656,121.75932309327911,120.90204873478454,121.29975013648918,1140100
2018-09-07,120.73414611816406,121.66212519223662,120.35411068464948,120.97277239104439,1036100
2018-09-10,119.71778869628906,120.76948386105295,119.24053618136999,120.76948386105295,1164300
2018-09-11,119.80616760253906,120.2922531660352,118.55119163847985,118.81633044452501,1154800
2018-09-12,119.01078033447266,120.21273139263114,118.78098704574484,119.84154240951888,1270300
2018-09-13,120.43365478515625,120.67226755868585,119.50567576487293,119.89454419131691,1060800
2018-09-14,122.05986022949219,122.139397847156,120.47788695202104,120.63696218734867,1195600
2018-09-17,122.26312255859375,122.69618315748791,121.90076655659189,122.36033969363028,1248600
2018-09-18,122.52822875976562,122.8729051492736,121.50303260642724,122.57242080673215,1072200
2018-09-19,123.83623504638672,124.80840617923249,122.83756486684872,122.83756486684872,1665000
2018-09-20,124.37812805175781,124.79568428042279,123.48083357959487,124.28040183747154,1443800
2018-09-21,124.25379180908203,124.79572580387158,123.56970808146203,124.62692469065348,2027500
2018-09-24,121.78399658203125,124.48477369774854,121.65961895609975,124.2626698260034,1391200
2018-09-25,120.30923461914062,122.10383786262894,120.05160006906625,121.79288699130002,1286700
2018-09-26,118.87001037597656,120.78899133166284,118.62125509166312,120.7534471161059,1682800
2018-09-27,118.48796844482422,119.35862537722943,118.34583227043584,118.86110132036455,1239600
2018-09-28,118.72782897949219,118.96770492405132,117.50181143634846,118.13259231096168,1193600
2018-10-01,118.31029510498047,119.4830101174935,117.99046497030831,119.25201340258596,1377000
2018-10-02,118.66566467285156,118.76337736381339,117.81277982936324,118.40801658677766,1161500
2018-10-03,118.54124450683594,119.76726193330468,118.26583793854603,119.05652699685699,848400
